timestamp,millis,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,mission_millis,better_pressure_altitude_m,temp_adjusted_altitude_m,blended_altitude_m,smoothed_gps_altitude_m,smoothed_pressure_Pa,smoothed_pressure_altitude_m,altitude_m,ascent_rate_mps
2021-06-19 18:24:54,3609244,7.16,9.0,1.11,364.5,234.9,2.2,47.59503936,-120.66499328,38.52,97109.09,357.07,14.15,0,359.3650176233284,897.2168404519766,359.3650176233284,364.5,97109.09,359.3650176233284,361.9325088116642,
2021-06-19 18:24:55,3610248,7.16,9.0,1.11,369.7,243.3,1.8,47.59503936,-120.66501617,38.05,97052.55,361.94,13.44,1004,364.23779660204184,889.5567968021276,364.23779660204184,367.38888888888886,97079.33210526317,361.92935168616793,364.65912028752837,2.7266114758641606
2021-06-19 18:24:56,3611255,7.16,9.0,1.1,374.7,147.8,6.5,47.59501266,-120.66499328,37.7,96976.97,368.46,12.86,2011,370.755088605521,886.694459564017,370.755088605521,370.3852459016393,97041.56011070112,365.18520351400696,367.7852247078231,3.1261044202947232
2021-06-19 18:24:57,3612258,7.18,9.0,1.11,380.7,137.5,5.6,47.59497833,-120.66495513,37.53,96916.61,373.67,13.01,3014,375.9629088442799,887.31919989827,375.9629088442799,373.8794037940379,97005.22684210527,368.3180091794221,371.09870648673,3.313481778906919
2021-06-19 18:24:58,3613261,7.16,9.0,1.11,387.0,140.8,4.9,47.59496307,-120.66493225,37.21,96851.35,379.3,13.69,4017,381.59645342709416,884.3683754239757,381.59645342709416,377.78248453117567,96967.65099728943,371.55895453319636,374.670719532186,3.5720130454560035
2021-06-19 18:24:59,3614264,7.18,8.0,1.11,392.7,139.7,4.2,47.59494018,-120.66490173,36.93,96798.74,383.85,13.71,5020,386.140229789027,881.3983855365784,386.140229789027,381.8259606210426,96931.60196242094,374.66916730475623,378.24756396289945,3.576844430713436
2021-06-19 18:25:00,3615271,7.16,8.0,1.11,397.8,125.7,6.0,47.59491729,-120.66484832,36.76,96742.55,388.7,13.7,6027,390.99540953951566,881.6650668874431,390.99540953951566,385.868563839264,96895.3645004582,377.7965811709462,381.8325725051051,3.585008542205628
2021-06-19 18:25:01,3616277,7.13,9.0,1.11,404.0,136.5,12.4,47.59486389,-120.6647644,36.54,96685.88,393.6,14.31,7033,395.89437773662644,880.6383403520829,395.89437773662644,390.2258889104215,96858.58268488299,380.9719432412197,385.5989160758206,3.7663435707155486
2021-06-19 18:25:02,3617284,7.16,9.0,1.11,411.6,136.4,6.8,47.59482574,-120.66469573,36.08,96613.88,399.83,14.11,8040,402.1219376862607,874.5071659459031,402.1219376862607,395.16341460962605,96818.63641170721,384.42159811871727,389.7925063641717,4.193590288351061
2021-06-19 18:25:03,3618288,7.16,9.0,1.11,415.6,136.4,1.4,47.59485626,-120.66471099,35.73,96562.42,404.28,14.15,9044,406.57521637003777,869.5478133588242,406.57521637003777,399.7423960792237,96779.29848287425,387.819844461642,393.78112027043284,3.9886139062611505
2021-06-19 18:25:04,3619294,7.13,9.0,1.11,421.4,136.4,4.2,47.59485626,-120.66468811,35.36,96507.64,409.03,14.66,10050,411.3179155249245,864.327978601953,411.3179155249245,404.4809560669252,96739.7090515414,391.2409465152401,397.86095129108264,4.079831020649806
2021-06-19 18:25:05,3620299,7.13,9.0,1.11,427.9,136.4,2.8,47.59489059,-120.66469573,35.3,96447.57,414.23,14.69,11055,416.5211145284004,867.8689320240821,416.5211145284004,409.51038454696993,96698.99680565148,394.76025861251696,402.13532157974345,4.274370288660805
2021-06-19 18:25:06,3621305,7.16,9.0,1.11,433.0,47.7,4.5,47.59498214,-120.66479492,35.15,96386.03,419.57,14.76,12061,421.85436527820684,869.1247747120847,421.85436527820684,414.4816032774976,96657.0336552914,398.38895923970574,406.43528125860166,4.299959678858215
2021-06-19 18:25:07,3622311,7.16,9.0,1.11,438.6,336.4,5.1,47.59506607,-120.66487121,34.92,96322.85,425.04,14.45,13067,427.3326128466251,868.3754826806814,427.3326128466251,419.52718986696067,96613.70251464917,402.13729372694115,410.83224179695094,4.396960538349276
2021-06-19 18:25:08,3623316,7.16,9.0,1.23,444.8,337.7,4.3,47.59512329,-120.66490936,34.62,96242.94,431.98,15.0,14072,434.26566368740373,867.1818196976346,434.26566368740373,424.76607891517295,96567.01338553427,406.17763290834284,415.47185591175787,4.639614114806932
2021-06-19 18:25:09,3624322,7.18,8.0,1.23,451.3,315.2,4.0,47.59517288,-120.66496276,34.34,96170.99,438.23,14.95,15078,440.51208805265196,865.8393444976437,440.51208805265196,430.2265620689934,96518.40354548134,410.3858658204275,420.30621394471046,4.8343580329525935
2021-06-19 18:25:10,3625326,7.16,9.0,1.11,457.3,277.8,5.3,47.59519195,-120.66503143,34.05,96100.08,444.39,14.98,16082,446.67192713042505,864.1358514695798,446.67192713042505,435.7659864020047,96468.19838511654,414.73401015953345,425.2499982807691,4.943784336058627
2021-06-19 18:25:11,3626331,7.18,9.0,1.1,464.4,272.8,3.5,47.59521484,-120.66510009,33.65,96031.33,450.36,15.13,17087,452.6476454008998,859.2781480210315,452.6476454008998,441.59784657480833,96416.79638163946,419.18770893311716,430.3927777539627,5.142779473193627
2021-06-19 18:25:12,3627335,7.18,9.0,1.11,470.7,279.2,1.3,47.5952301,-120.66513824,33.27,95960.69,456.51,15.61,18091,458.791250971861,855.1130067454808,458.791250971861,447.50338503848485,96364.06212772786,423.7588382784638,435.6311116584743,5.238333904511592
2021-06-19 18:25:13,3628341,7.16,9.0,1.11,477.8,313.4,1.9,47.59524536,-120.6651535,32.87,95882.17,463.34,16.41,19097,465.62448422992,851.0784522613592,465.62448422992,453.6333820849685,96309.20337081456,428.5162746624774,441.07482837372294,5.443716715248627
2021-06-19 18:25:14,3629346,7.13,9.0,1.18,485.3,277.4,3.7,47.59525299,-120.66519165,32.67,95802.1,470.31,16.4,20102,472.59727467458765,852.5814985982995,472.59727467458765,460.025664062821,96252.26263610026,433.4565847432509,446.741124403036,5.6662960293130595
2021-06-19 18:25:15,3630354,7.16,9.0,1.23,492.5,278.6,4.0,47.59526062,-120.66524505,32.51,95726.02,476.95,16.75,21110,479.2269746773809,854.8246047299754,479.2269746773809,466.56881115418923,96193.89000570003,438.52358655735225,452.54619885577074,5.805074452734743
2021-06-19 18:25:16,3631358,7.01,8.0,1.11,498.6,317.2,4.8,47.59529495,-120.66529846,32.32,95657.94,482.88,15.91,22114,485.1631635164697,855.5662672982728,485.1631635164697,473.013089226822,96135.08297432966,443.6308145346443,458.32195188073314,5.775753024962398
2021-06-19 18:25:17,3632364,7.18,8.0,1.11,503.6,318.5,6.3,47.59535217,-120.66535186,32.26,95599.52,487.98,16.55,23120,490.25978321165326,858.994911788478,490.25978321165326,479.1594969713806,96076.88438221133,448.6876924720689,463.9235947217247,5.6016428409915875
2021-06-19 18:25:18,3633371,7.13,9.0,1.1,509.7,312.1,5.2,47.59538269,-120.66542053,32.06,95532.86,493.8,16.69,24127,496.0783503132932,859.3461036919402,496.0783503132932,485.2907608370861,96018.27434092003,453.7828286208785,469.5367947289823,5.6132000072575465
2021-06-19 18:25:19,3634377,7.18,9.0,1.11,516.4,293.1,3.3,47.5953865,-120.66547393,31.73,95448.28,501.19,17.63,25133,503.4658385597488,857.7242101727659,503.4658385597488,491.53147005593735,95957.33774335912,459.0828898609516,475.30717995844446,5.7703852294621925
2021-06-19 18:25:20,3635384,7.18,9.0,1.12,523.4,309.0,2.8,47.59540557,-120.66550445,31.49,95368.19,508.19,16.94,26140,510.4660435926942,858.153877419282,510.4660435926942,497.920624071259,95894.7855770005,464.5263033310234,481.2234637011412,5.9162837426967485
